CODIGO,FECHA,DIA_SEMANA,INGRESO,SALIDA,HORAS_LABORADAS
3932,2023-01-12,Thursday,,,FALTA/NO CHECO
3932,2023-01-13,Friday,,,FALTA/NO CHECO
3934,2023-01-09,Monday,1900-01-01 09:25:00,,FALTA/NO CHECO
3934,2023-01-10,Tuesday,1900-01-01 09:12:00,,FALTA/NO CHECO
3934,2023-01-11,Wednesday,1900-01-01 08:55:00,,FALTA/NO CHECO
3934,2023-01-12,Thursday,1900-01-01 09:17:00,,FALTA/NO CHECO
3934,2023-01-13,Friday,1900-01-01 09:22:00,,FALTA/NO CHECO
3962,2023-01-09,Monday,,,FALTA/NO CHECO
3962,2023-01-10,Tuesday,,,FALTA/NO CHECO
3962,2023-01-11,Wednesday,,,FALTA/NO CHECO
3962,2023-01-12,Thursday,,,FALTA/NO CHECO
3962,2023-01-13,Friday,,,FALTA/NO CHECO
3965,2023-01-09,Monday,,,FALTA/NO CHECO
3965,2023-01-10,Tuesday,,,FALTA/NO CHECO
3965,2023-01-11,Wednesday,,,FALTA/NO CHECO
3965,2023-01-12,Thursday,,,FALTA/NO CHECO
3965,2023-01-13,Friday,,,FALTA/NO CHECO
4005,2023-01-09,Monday,,,FALTA/NO CHECO
4005,2023-01-10,Tuesday,,,FALTA/NO CHECO
4005,2023-01-11,Wednesday,,,FALTA/NO CHECO
4005,2023-01-12,Thursday,,,FALTA/NO CHECO
4005,2023-01-13,Friday,,,FALTA/NO CHECO
4025,2023-01-09,Monday,1900-01-01 09:19:00,1900-01-01 18:33:00,9.233333333333333
4025,2023-01-10,Tuesday,1900-01-01 09:11:00,1900-01-01 18:21:00,9.166666666666666
4025,2023-01-11,Wednesday,1900-01-01 09:02:00,1900-01-01 18:15:00,9.216666666666667
4025,2023-01-12,Thursday,1900-01-01 09:08:00,1900-01-01 18:21:00,9.216666666666667
4025,2023-01-13,Friday,1900-01-01 09:12:00,1900-01-01 18:13:00,9.016666666666667
4031,2023-01-09,Monday,1900-01-01 09:57:00,,FALTA/NO CHECO
4031,2023-01-10,Tuesday,1900-01-01 09:29:00,,FALTA/NO CHECO
4031,2023-01-11,Wednesday,1900-01-01 09:11:00,,FALTA/NO CHECO
